数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.000000,77.000000,3.08,14.8
0.100000,,3.14,
0.200000,,3.34,
0.300000,,3.64,
0.400000,,4.03,
0.500000,,4.53,
0.600000,,5.05,
0.700000,,5.52,
0.800000,,5.96,
0.900000,,6.44,
1.000000,77.000000,6.95,
1.100000,,7.38,
1.200000,,7.61,
1.300000,,7.41,
1.400000,,6.81,
1.500000,,6.09,
1.600000,,5.53,
1.700000,,5.20,
1.800000,,4.91,
1.900000,,4.64,
2.000000,77.500000,4.39,
2.100000,,4.16,
2.200000,,3.89,
2.300000,,3.66,
2.400000,,3.53,
2.500000,,3.44,
2.600000,,3.38,
2.700000,,3.36,
2.800000,,3.37,
2.900000,,3.36,
3.000000,78.000000,3.40,
3.100000,,3.58,
3.200000,,3.85,
3.300000,,4.16,
3.400000,,4.51,
3.500000,,4.89,
3.600000,,5.33,
3.700000,,5.78,
3.800000,,6.30,
3.900000,,6.86,
4.000000,78.500000,7.38,
4.100000,,7.83,
4.200000,,8.15,
4.300000,,8.20,
4.400000,,7.74,
4.500000,,7.01,
4.600000,,6.41,
4.700000,,5.91,
4.800000,,5.47,
4.900000,,5.13,
5.000000,78.714286,4.85,
5.100000,,4.54,
5.200000,,4.23,
5.300000,,4.07,
5.400000,,4.00,
5.500000,,3.91,
5.600000,,3.82,
5.700000,,3.73,
5.800000,,3.60,
5.900000,,3.48,
6.000000,79.500000,3.56,
6.100000,,3.84,
6.200000,,4.27,
6.300000,,4.87,
6.400000,,5.49,
6.500000,,5.97,
6.600000,,6.40,
6.700000,,6.89,
6.800000,,7.45,
6.900000,,7.97,
7.000000,79.833333,8.21,
7.100000,,7.90,
7.200000,,7.20,
7.300000,,6.54,
7.400000,,6.03,
7.500000,,5.55,
7.600000,,5.14,
7.700000,,4.81,
7.800000,,4.49,
7.900000,,4.16,
8.000000,80.333333,3.89,
8.100000,,3.71,
8.200000,,3.53,
8.300000,,3.33,
8.400000,,3.13,
8.500000,,2.98,
8.600000,,2.98,
8.700000,,3.18,
8.800000,,3.51,
8.900000,,3.90,
9.000000,80.500000,4.34,
9.100000,,4.82,
9.200000,,5.25,
9.300000,,5.66,
9.400000,,6.18,
9.500000,,6.73,
9.600000,,7.20,
9.700000,,7.49,
9.800000,,7.36,
9.900000,,6.74,
10.000000,81.000000,6.02,14.7
10.100000,,5.54,
10.200000,,5.23,
10.300000,,5.03,
10.400000,,4.75,
10.500000,,4.19,
10.600000,,3.82,
10.700000,,3.66,
10.800000,,3.31,
10.900000,,2.81,
11.000000,82.000000,2.36,
11.100000,,2.38,
11.200000,,2.92,
11.300000,,3.23,
11.400000,,3.08,
11.500000,,3.09,
11.600000,,3.66,
11.700000,,4.58,
11.800000,,5.50,
11.900000,,6.39,
12.000000,82.666667,7.19,
12.100000,,7.92,
12.200000,,9.36,
12.300000,,11.35,
12.400000,,11.93,
12.500000,,10.95,
12.600000,,9.94,
12.700000,,9.33,
12.800000,,8.52,
12.900000,,7.56,
13.000000,83.166667,6.61,
13.100000,,5.69,
13.200000,,5.42,
13.300000,,5.62,
13.400000,,5.60,
13.500000,,5.55,
13.600000,,5.82,
13.700000,,6.02,
13.800000,,6.33,
13.900000,,6.75,
14.000000,84.000000,6.16,
14.100000,,5.00,
14.200000,,4.26,
14.300000,,3.69,
14.400000,,3.09,
14.500000,,2.63,
14.600000,,2.36,
14.700000,,2.23,
14.800000,,2.24,
14.900000,,2.37,
15.000000,84.400000,2.59,
15.100000,,2.92,
15.200000,,3.69,
15.300000,,4.73,
15.400000,,5.64,
15.500000,,6.68,
15.600000,,7.89,
15.700000,,9.19,
15.800000,,10.50,
15.900000,,11.14,
16.000000,84.600000,10.93,
16.100000,,10.84,
16.200000,,11.50,
16.300000,,12.67,
16.400000,,14.18,
16.500000,,16.41,
16.600000,,19.00,
16.700000,,21.17,
16.800000,,21.97,
16.900000,,20.58,
17.000000,85.200000,18.20,
17.100000,,16.11,
17.200000,,14.48,
17.300000,,13.46,
17.400000,,12.68,
17.500000,,11.43,
17.600000,,9.91,
17.700000,,8.48,
17.800000,,6.87,
17.900000,,5.61,
18.000000,85.666667,4.82,
18.100000,,4.20,
18.200000,,3.71,
18.300000,,3.57,
18.400000,,3.71,
18.500000,,3.71,
18.600000,,3.64,
18.700000,,3.77,
18.800000,,4.12,
18.900000,,4.79,
19.000000,87.166667,5.05,
19.100000,,4.25,
19.200000,,3.24,
19.300000,,2.70,
19.400000,,2.46,
19.500000,,2.31,
19.600000,,2.16,
19.700000,,2.12,
19.800000,,2.14,
19.900000,,2.22,
20.000000,88.333333,2.52,0.0
20.100000,,3.08,
20.200000,,3.79,
20.300000,,4.54,
20.400000,,5.48,
20.500000,,6.62,
20.600000,,7.46,
20.700000,,7.34,
20.800000,,6.89,
20.900000,,7.23,
21.000000,90.000000,8.61,
21.100000,,9.81,
21.200000,,10.92,
21.300000,,12.45,
21.400000,,13.86,
21.500000,,15.24,
21.600000,,16.50,
21.700000,,16.10,
21.800000,,13.98,
21.900000,,12.61,
22.000000,90.142857,12.12,
22.100000,,11.27,
22.200000,,10.40,
22.300000,,9.88,
22.400000,,9.15,
22.500000,,8.07,
22.600000,,7.18,
22.700000,,6.51,
22.800000,,5.82,
22.900000,,5.17,
23.000000,91.000000,4.36,
23.100000,,3.59,
23.200000,,3.19,
23.300000,,3.16,
23.400000,,3.34,
23.500000,,3.72,
23.600000,,4.14,
23.700000,,4.37,
23.800000,,4.47,
23.900000,,4.76,
24.000000,91.714286,5.22,
24.100000,,5.20,
24.200000,,4.70,
24.300000,,4.49,
24.400000,,4.95,
24.500000,,5.51,
24.600000,,5.92,
24.700000,,6.33,
24.800000,,6.70,
24.900000,,7.27,
25.000000,92.000000,8.01,
25.100000,,8.60,
25.200000,,9.46,
25.300000,,11.19,
25.400000,,12.64,
25.500000,,13.89,
25.600000,,14.55,
25.700000,,13.25,
25.800000,,11.77,
25.900000,,10.77,
26.000000,92.428571,9.52,
26.100000,,8.33,
26.200000,,7.20,
26.300000,,6.45,
26.400000,,6.23,
26.500000,,5.94,
26.600000,,5.76,
26.700000,,5.88,
26.800000,,5.78,
26.900000,,5.82,
27.000000,92.500000,6.27,
27.100000,,6.01,
27.200000,,5.01,
27.300000,,4.30,
27.400000,,3.97,
27.500000,,3.69,
27.600000,,3.50,
27.700000,,3.43,
27.800000,,3.49,
27.900000,,3.97,
28.000000,92.666667,4.49,
28.100000,,4.55,
28.200000,,4.48,
28.300000,,5.14,
28.400000,,6.75,
28.500000,,7.99,
28.600000,,8.82,
28.700000,,9.46,
28.800000,,9.51,
28.900000,,9.66,
29.000000,92.833333,9.98,
29.100000,,9.69,
29.200000,,9.37,
29.300000,,9.71,
29.400000,,10.62,
29.500000,,11.61,
29.600000,,11.79,
29.700000,,11.21,
29.800000,,10.24,
29.900000,,9.38,
30.000000,93.000000,8.82,13.6
