数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,81.000000,4.68,12.6
0.1,,4.30,
0.2,,4.18,
0.3,,4.04,
0.4,,3.91,
0.5,,3.82,
0.6,,3.65,
0.7,,3.52,
0.8,,3.50,
0.9,,3.51,
1.0,81.000000,3.46,
1.1,,3.41,
1.2,,3.35,
1.3,,3.22,
1.4,,3.09,
1.5,,3.08,
1.6,,3.16,
1.7,,3.22,
1.8,,3.37,
1.9,,3.61,
2.0,81.000000,3.88,
2.1,,4.13,
2.2,,4.48,
2.3,,4.95,
2.4,,5.38,
2.5,,5.74,
2.6,,6.06,
2.7,,6.36,
2.8,,6.60,
2.9,,6.76,
3.0,81.400000,6.75,
3.1,,6.45,
3.2,,5.96,
3.3,,5.47,
3.4,,5.02,
3.5,,4.57,
3.6,,4.22,
3.7,,4.07,
3.8,,3.95,
3.9,,3.79,
4.0,81.600000,3.66,
4.1,,3.54,
4.2,,3.39,
4.3,,3.29,
4.4,,3.30,
4.5,,3.30,
4.6,,3.27,
4.7,,3.24,
4.8,,3.19,
4.9,,3.10,
5.0,81.800000,3.03,
5.1,,3.06,
5.2,,3.11,
5.3,,3.16,
5.4,,3.23,
5.5,,3.33,
5.6,,3.46,
5.7,,3.64,
5.8,,3.96,
5.9,,4.35,
6.0,82.400000,4.72,
6.1,,5.08,
6.2,,5.45,
6.3,,5.75,
6.4,,5.95,
6.5,,6.17,
6.6,,6.36,
6.7,,6.31,
6.8,,5.95,
6.9,,5.47,
7.0,82.600000,5.01,
7.1,,4.53,
7.2,,4.19,
7.3,,4.05,
7.4,,3.94,
7.5,,3.82,
7.6,,3.70,
7.7,,3.57,
7.8,,3.40,
7.9,,3.27,
8.0,82.666667,3.22,
8.1,,3.20,
8.2,,3.16,
8.3,,3.12,
8.4,,3.07,
8.5,,2.98,
8.6,,2.87,
8.7,,2.83,
8.8,,2.84,
8.9,,2.86,
9.0,82.833333,2.89,
9.1,,2.93,
9.2,,2.97,
9.3,,3.01,
9.4,,3.09,
9.5,,3.30,
9.6,,3.60,
9.7,,3.95,
9.8,,4.30,
9.9,,4.62,
10.0,82.857143,4.87,17.3
10.1,,5.10,
10.2,,5.42,
10.3,,5.67,
10.4,,5.53,
10.5,,5.15,
10.6,,4.79,
10.7,,4.43,
10.8,,4.07,
10.9,,3.92,
11.0,83.000000,4.10,
11.1,,4.39,
11.2,,4.62,
11.3,,4.49,
11.4,,4.23,
11.5,,4.16,
11.6,,4.20,
11.7,,4.35,
11.8,,4.50,
11.9,,4.49,
12.0,82.714286,4.45,
12.1,,4.47,
12.2,,4.62,
12.3,,4.60,
12.4,,4.69,
12.5,,5.20,
12.6,,5.45,
12.7,,5.42,
12.8,,5.50,
12.9,,5.70,
13.0,82.571429,5.51,
13.1,,5.69,
13.2,,5.97,
13.3,,5.75,
13.4,,5.84,
13.5,,6.38,
13.6,,7.17,
13.7,,7.33,
13.8,,7.33,
13.9,,8.00,
14.0,82.428571,8.51,
14.1,,8.81,
14.2,,9.33,
14.3,,9.70,
14.4,,9.67,
14.5,,10.01,
14.6,,10.58,
14.7,,10.59,
14.8,,10.34,
14.9,,9.55,
15.0,82.500000,8.62,
15.1,,8.08,
15.2,,7.56,
15.3,,7.13,
15.4,,6.78,
15.5,,6.64,
15.6,,6.92,
15.7,,7.28,
15.8,,6.68,
15.9,,5.66,
16.0,82.500000,5.15,
16.1,,4.93,
16.2,,4.87,
16.3,,4.94,
16.4,,5.15,
16.5,,5.18,
16.6,,4.88,
16.7,,4.84,
16.8,,5.07,
16.9,,5.01,
17.0,83.333333,4.95,
17.1,,5.30,
17.2,,5.30,
17.3,,5.65,
17.4,,6.23,
17.5,,6.31,
17.6,,6.61,
17.7,,7.18,
17.8,,7.70,
17.9,,7.70,
18.0,84.166667,7.51,
18.1,,7.64,
18.2,,8.14,
18.3,,8.91,
18.4,,9.46,
18.5,,9.83,
18.6,,10.19,
18.7,,10.05,
18.8,,9.77,
18.9,,9.72,
19.0,84.833333,10.05,
19.1,,10.89,
19.2,,10.86,
19.3,,9.77,
19.4,,9.08,
19.5,,8.93,
19.6,,9.06,
19.7,,9.36,
19.8,,9.14,
19.9,,8.05,
20.0,85.800000,6.99,6.1
20.1,,6.36,
20.2,,5.93,
20.3,,5.77,
20.4,,5.88,
20.5,,5.51,
20.6,,5.05,
20.7,,5.55,
20.8,,6.19,
20.9,,6.21,
21.0,85.833333,6.19,
21.1,,6.10,
21.2,,5.73,
21.3,,5.89,
21.4,,6.28,
21.5,,6.09,
21.6,,5.93,
21.7,,6.32,
21.8,,6.32,
21.9,,5.94,
22.0,86.000000,6.02,
22.1,,6.35,
22.2,,6.39,
22.3,,6.22,
22.4,,6.73,
22.5,,6.88,
22.6,,6.43,
22.7,,6.54,
22.8,,7.08,
22.9,,7.27,
23.0,86.333333,7.32,
23.1,,8.16,
23.2,,9.68,
23.3,,10.73,
23.4,,10.91,
23.5,,10.52,
23.6,,9.63,
23.7,,9.24,
23.8,,9.89,
23.9,,9.87,
24.0,86.166667,8.83,
24.1,,7.69,
24.2,,6.69,
24.3,,6.16,
24.4,,6.04,
24.5,,6.14,
24.6,,5.94,
24.7,,5.59,
24.8,,5.63,
24.9,,5.62,
25.0,86.142857,5.19,
25.1,,4.98,
25.2,,5.20,
25.3,,5.18,
25.4,,5.18,
25.5,,5.17,
25.6,,5.03,
25.7,,5.02,
25.8,,5.02,
25.9,,5.14,
26.0,86.166667,5.32,
26.1,,5.42,
26.2,,5.59,
26.3,,5.78,
26.4,,5.60,
26.5,,5.66,
26.6,,5.82,
26.7,,5.72,
26.8,,5.74,
26.9,,5.78,
27.0,86.000000,5.84,
27.1,,6.81,
27.2,,8.03,
27.3,,7.91,
27.4,,7.21,
27.5,,6.75,
27.6,,6.39,
27.7,,6.23,
27.8,,6.79,
27.9,,7.33,
28.0,86.000000,6.95,
28.1,,6.20,
28.2,,5.57,
28.3,,5.33,
28.4,,5.41,
28.5,,5.58,
28.6,,5.10,
28.7,,4.82,
28.8,,5.13,
28.9,,5.08,
29.0,86.000000,5.09,
29.1,,5.27,
29.2,,5.58,
29.3,,5.60,
29.4,,5.82,
29.5,,5.92,
29.6,,5.24,
29.7,,4.72,
29.8,,4.55,
29.9,,4.62,
30.0,86.000000,4.79,14.3
30.1,,5.35,
30.2,,5.69,
30.3,,5.46,
30.4,,5.32,
30.5,,5.13,
30.6,,4.70,
30.7,,4.43,
30.8,,4.45,
30.9,,4.89,
31.0,86.000000,5.60,
31.1,,6.19,
31.2,,6.63,
31.3,,6.86,
31.4,,6.85,
31.5,,6.78,
31.6,,6.87,
31.7,,6.98,
31.8,,7.15,
31.9,,7.01,
32.0,86.000000,6.54,
32.1,,6.13,
32.2,,5.76,
32.3,,5.53,
32.4,,5.81,
32.5,,5.89,
32.6,,5.70,
32.7,,5.64,
32.8,,5.39,
32.9,,5.26,
33.0,,5.37,
33.1,,5.44,
