数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,84.000000,5.40,12.0
0.1,,6.00,
0.2,,6.50,
0.3,,7.00,
0.4,,7.43,
0.5,,7.80,
0.6,,8.17,
0.7,,8.36,
0.8,,8.01,
0.9,,7.13,
1.0,84.000000,6.17,
1.1,,5.37,
1.2,,4.80,
1.3,,4.49,
1.4,,4.30,
1.5,,4.08,
1.6,,3.90,
1.7,,3.76,
1.8,,3.60,
1.9,,3.48,
2.0,84.000000,3.45,
2.1,,3.43,
2.2,,3.37,
2.3,,3.29,
2.4,,3.22,
2.5,,3.14,
2.6,,3.11,
2.7,,3.17,
2.8,,3.28,
2.9,,3.40,
3.0,84.400000,3.58,
3.1,,3.83,
3.2,,4.11,
3.3,,4.35,
3.4,,4.62,
3.5,,5.02,
3.6,,5.50,
3.7,,5.90,
3.8,,6.28,
3.9,,6.76,
4.0,84.600000,7.23,
4.1,,7.63,
4.2,,8.06,
4.3,,8.23,
4.4,,7.88,
4.5,,7.23,
4.6,,6.51,
4.7,,5.88,
4.8,,5.35,
4.9,,5.01,
5.0,84.800000,4.85,
5.1,,4.73,
5.2,,4.60,
5.3,,4.45,
5.4,,4.24,
5.5,,3.98,
5.6,,3.79,
5.7,,3.68,
5.8,,3.56,
5.9,,3.45,
6.0,84.600000,3.34,
6.1,,3.21,
6.2,,3.06,
6.3,,2.96,
6.4,,2.94,
6.5,,2.91,
6.6,,2.88,
6.7,,2.87,
6.8,,2.91,
6.9,,2.97,
7.0,84.400000,3.10,
7.1,,3.34,
7.2,,3.61,
7.3,,3.93,
7.4,,4.30,
7.5,,4.69,
7.6,,5.03,
7.7,,5.37,
7.8,,5.79,
7.9,,6.20,
8.0,84.333333,6.57,
8.1,,6.87,
8.2,,7.08,
8.3,,7.09,
8.4,,6.89,
8.5,,6.55,
8.6,,6.13,
8.7,,5.70,
8.8,,5.26,
8.9,,4.85,
9.0,84.166667,4.54,
9.1,,4.39,
9.2,,4.29,
9.3,,4.13,
9.4,,3.96,
9.5,,3.82,
9.6,,3.62,
9.7,,3.40,
9.8,,3.25,
9.9,,3.10,
10.0,84.000000,3.04,12.8
10.1,,3.28,
10.2,,3.64,
10.3,,4.30,
10.4,,5.11,
10.5,,5.51,
10.6,,6.29,
10.7,,7.33,
10.8,,6.93,
10.9,,7.15,
11.0,84.285714,7.53,
11.1,,5.71,
11.2,,4.79,
11.3,,5.82,
11.4,,6.03,
11.5,,7.58,
11.6,,10.23,
11.7,,10.08,
11.8,,10.76,
11.9,,12.98,
12.0,84.714286,13.62,
12.1,,15.84,
12.2,,17.80,
12.3,,16.25,
12.4,,16.67,
12.5,,17.83,
12.6,,16.06,
12.7,,15.09,
12.8,,15.59,
12.9,,14.13,
13.0,85.000000,11.73,
13.1,,11.05,
13.2,,10.40,
13.3,,8.62,
13.4,,9.18,
13.5,,9.38,
13.6,,7.14,
13.7,,6.94,
13.8,,7.66,
13.9,,6.68,
14.0,85.571429,6.89,
14.1,,7.60,
14.2,,6.79,
14.3,,7.19,
14.4,,8.10,
14.5,,7.88,
14.6,,9.52,
14.7,,11.23,
14.8,,12.09,
14.9,,16.23,
15.0,87.000000,19.43,
15.1,,18.62,
15.2,,18.99,
15.3,,20.18,
15.4,,19.17,
15.5,,19.60,
15.6,,20.40,
15.7,,17.24,
15.8,,15.05,
15.9,,14.86,
16.0,87.500000,12.47,
16.1,,10.27,
16.2,,9.87,
16.3,,8.56,
16.4,,6.99,
16.5,,7.83,
16.6,,7.42,
16.7,,5.80,
16.8,,6.45,
16.9,,6.83,
17.0,88.000000,5.63,
17.1,,5.96,
17.2,,6.55,
17.3,,5.29,
17.4,,4.85,
17.5,,5.72,
17.6,,5.47,
17.7,,5.43,
17.8,,5.83,
17.9,,5.24,
18.0,88.500000,5.23,
18.1,,6.31,
18.2,,6.86,
18.3,,7.61,
18.4,,8.77,
18.5,,8.66,
18.6,,9.08,
18.7,,10.45,
18.8,,10.87,
18.9,,12.50,
19.0,88.500000,14.55,
19.1,,14.65,
19.2,,15.99,
19.3,,17.29,
19.4,,15.83,
19.5,,13.78,
19.6,,12.96,
19.7,,11.11,
19.8,,9.10,
19.9,,9.41,
20.0,88.142857,9.42,17.6
20.1,,7.91,
20.2,,7.68,
20.3,,7.77,
20.4,,6.21,
20.5,,5.30,
20.6,,6.04,
20.7,,6.24,
20.8,,6.65,
20.9,,7.58,
21.0,87.833333,6.64,
21.1,,5.70,
21.2,,6.59,
21.3,,6.52,
21.4,,5.89,
21.5,,6.74,
21.6,,5.85,
21.7,,4.94,
21.8,,6.21,
21.9,,6.66,
22.0,87.833333,7.89,
22.1,,9.34,
22.2,,8.47,
22.3,,9.29,
22.4,,11.50,
22.5,,12.28,
22.6,,13.67,
22.7,,16.30,
22.8,,16.39,
22.9,,16.37,
23.0,87.666667,17.72,
23.1,,17.12,
23.2,,16.14,
23.3,,17.59,
23.4,,17.47,
23.5,,13.88,
23.6,,12.48,
23.7,,12.88,
23.8,,11.13,
23.9,,10.57,
24.0,88.000000,10.64,
24.1,,7.92,
24.2,,6.81,
24.3,,7.74,
24.4,,7.01,
24.5,,6.57,
24.6,,7.52,
24.7,,6.41,
24.8,,5.54,
24.9,,7.29,
25.0,88.333333,7.37,
25.1,,6.04,
25.2,,6.79,
25.3,,6.63,
25.4,,5.46,
25.5,,5.97,
25.6,,5.87,
25.7,,5.33,
25.8,,6.59,
25.9,,6.93,
26.0,89.000000,6.69,
26.1,,8.66,
26.2,,10.10,
26.3,,10.63,
26.4,,12.80,
26.5,,14.16,
26.6,,14.94,
26.7,,16.18,
26.8,,16.94,
26.9,,17.36,
27.0,89.333333,18.60,
27.1,,19.40,
27.2,,20.11,
27.3,,22.03,
27.4,,21.34,
27.5,,17.31,
27.6,,14.76,
27.7,,14.16,
27.8,,11.23,
27.9,,9.20,
28.0,90.000000,9.55,
28.1,,8.12,
28.2,,6.88,
28.3,,7.83,
28.4,,7.00,
28.5,,5.03,
28.6,,4.96,
28.7,,4.94,
28.8,,4.22,
28.9,,4.93,
29.0,90.333333,5.07,
29.1,,4.13,
29.2,,4.73,
29.3,,5.33,
29.4,,4.56,
29.5,,4.69,
29.6,,5.64,
29.7,,5.10,
29.8,,4.38,
29.9,,4.93,
30.0,91.333333,5.08,16.2
