数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,78.000000,5.32,0.0
0.1,,5.60,
0.2,,5.82,
0.3,,5.81,
0.4,,5.63,
0.5,,5.62,
0.6,,5.64,
0.7,,5.27,
0.8,,4.93,
0.9,,5.11,
1.0,78.000000,5.32,
1.1,,5.10,
1.2,,4.70,
1.3,,4.41,
1.4,,4.23,
1.5,,4.17,
1.6,,4.17,
1.7,,4.12,
1.8,,4.08,
1.9,,4.04,
2.0,78.500000,4.01,
2.1,,3.96,
2.2,,4.05,
2.3,,4.33,
2.4,,4.68,
2.5,,5.08,
2.6,,5.49,
2.7,,5.88,
2.8,,6.24,
2.9,,6.71,
3.0,79.000000,6.90,
3.1,,6.46,
3.2,,5.98,
3.3,,5.64,
3.4,,5.21,
3.5,,4.77,
3.6,,4.35,
3.7,,3.98,
3.8,,3.70,
3.9,,3.58,
4.0,79.500000,3.54,
4.1,,3.34,
4.2,,3.18,
4.3,,3.30,
4.4,,3.64,
4.5,,4.12,
4.6,,4.62,
4.7,,5.03,
4.8,,5.33,
4.9,,5.62,
5.0,80.000000,5.99,
5.1,,6.32,
5.2,,6.50,
5.3,,6.49,
5.4,,6.34,
5.5,,6.25,
5.6,,6.32,
5.7,,6.37,
5.8,,6.42,
5.9,,6.53,
6.0,80.833333,6.70,
6.1,,6.91,
6.2,,6.95,
6.3,,6.93,
6.4,,7.08,
6.5,,7.25,
6.6,,7.37,
6.7,,7.39,
6.8,,7.10,
6.9,,6.51,
7.0,81.666667,6.06,
7.1,,5.99,
7.2,,6.07,
7.3,,5.94,
7.4,,5.52,
7.5,,4.96,
7.6,,4.38,
7.7,,3.97,
7.8,,3.75,
7.9,,3.61,
8.0,82.500000,3.50,
8.1,,3.45,
8.2,,3.41,
8.3,,3.34,
8.4,,3.31,
8.5,,3.36,
8.6,,3.42,
8.7,,3.52,
8.8,,3.71,
8.9,,3.98,
9.0,83.800000,4.29,
9.1,,4.64,
9.2,,5.06,
9.3,,5.49,
9.4,,5.86,
9.5,,6.08,
9.6,,6.03,
9.7,,5.77,
9.8,,5.49,
9.9,,5.20,
10.0,84.000000,4.84,15.8
10.1,,4.46,
10.2,,4.29,
10.3,,4.37,
10.4,,4.46,
10.5,,4.42,
10.6,,4.32,
10.7,,4.30,
10.8,,4.77,
10.9,,5.58,
11.0,84.500000,5.83,
11.1,,5.55,
11.2,,5.46,
11.3,,5.62,
11.4,,6.07,
11.5,,6.52,
11.6,,6.38,
11.7,,6.43,
11.8,,6.35,
11.9,,5.90,
12.0,84.200000,5.63,
12.1,,5.58,
12.2,,5.63,
12.3,,5.23,
12.4,,4.81,
12.5,,4.55,
12.6,,4.20,
12.7,,4.05,
12.8,,3.98,
12.9,,3.64,
13.0,83.666667,3.38,
13.1,,3.66,
13.2,,4.27,
13.3,,4.74,
13.4,,5.52,
13.5,,6.68,
13.6,,7.23,
13.7,,7.20,
13.8,,7.11,
13.9,,6.85,
14.0,83.428571,6.38,
14.1,,6.13,
14.2,,5.62,
14.3,,4.29,
14.4,,3.63,
14.5,,3.71,
14.6,,3.68,
14.7,,4.31,
14.8,,4.63,
14.9,,4.20,
15.0,82.666667,3.90,
15.1,,3.67,
15.2,,3.73,
15.3,,4.30,
15.4,,4.73,
15.5,,5.11,
15.6,,5.88,
15.7,,6.48,
15.8,,6.85,
15.9,,7.06,
16.0,82.166667,7.09,
16.1,,7.16,
16.2,,7.54,
16.3,,7.53,
16.4,,6.70,
16.5,,5.98,
16.6,,6.01,
16.7,,5.63,
16.8,,4.57,
16.9,,4.10,
17.0,82.428571,3.95,
17.1,,3.70,
17.2,,3.57,
17.3,,3.88,
17.4,,4.14,
17.5,,4.29,
17.6,,4.88,
17.7,,5.40,
17.8,,5.69,
17.9,,6.11,
18.0,82.500000,6.24,
18.1,,6.07,
18.2,,6.35,
18.3,,6.56,
18.4,,6.35,
18.5,,6.25,
18.6,,6.38,
18.7,,6.06,
18.8,,5.47,
18.9,,5.04,
19.0,83.000000,4.53,
19.1,,4.22,
19.2,,3.84,
19.3,,3.55,
19.4,,3.66,
19.5,,3.85,
19.6,,3.89,
19.7,,3.93,
19.8,,4.40,
19.9,,4.77,
20.0,83.333333,5.12,22.7
20.1,,5.88,
20.2,,6.31,
20.3,,6.47,
20.4,,6.94,
20.5,,7.45,
20.6,,6.72,
20.7,,5.95,
20.8,,6.29,
20.9,,6.42,
21.0,83.666667,6.12,
21.1,,6.43,
21.2,,6.08,
21.3,,5.05,
21.4,,4.61,
21.5,,4.13,
21.6,,4.02,
21.7,,4.29,
21.8,,4.68,
21.9,,4.94,
22.0,83.833333,4.77,
22.1,,4.49,
22.2,,4.31,
22.3,,4.33,
22.4,,4.40,
22.5,,4.68,
22.6,,5.16,
22.7,,5.78,
22.8,,6.57,
22.9,,7.09,
23.0,84.000000,7.54,
23.1,,8.26,
23.2,,8.07,
23.3,,6.82,
23.4,,6.19,
23.5,,6.05,
23.6,,5.53,
23.7,,5.06,
23.8,,5.06,
23.9,,4.82,
24.0,84.000000,4.52,
24.1,,4.48,
24.2,,4.20,
24.3,,4.05,
24.4,,3.97,
24.5,,3.50,
24.6,,3.05,
24.7,,3.23,
24.8,,3.76,
24.9,,4.46,
25.0,83.666667,5.33,
25.1,,6.62,
25.2,,7.78,
25.3,,8.10,
25.4,,7.79,
25.5,,7.47,
25.6,,7.31,
25.7,,6.97,
25.8,,6.34,
25.9,,5.84,
26.0,82.833333,5.70,
26.1,,5.65,
26.2,,5.77,
26.3,,5.93,
26.4,,6.59,
26.5,,7.01,
