数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,83.000000,6.61,16.0
0.1,,7.06,
0.2,,7.28,
0.3,,7.31,
0.4,,7.00,
0.5,,6.49,
0.6,,6.07,
0.7,,5.78,
0.8,,5.59,
0.9,,5.36,
1.0,82.333333,5.05,
1.1,,4.75,
1.2,,4.47,
1.3,,4.21,
1.4,,4.08,
1.5,,4.07,
1.6,,4.02,
1.7,,3.99,
1.8,,4.02,
1.9,,4.09,
2.0,82.250000,4.19,
2.1,,4.37,
2.2,,4.71,
2.3,,5.11,
2.4,,5.49,
2.5,,5.83,
2.6,,6.03,
2.7,,6.08,
2.8,,6.19,
2.9,,6.33,
3.0,82.600000,6.32,
3.1,,6.17,
3.2,,5.95,
3.3,,5.65,
3.4,,5.23,
3.5,,4.89,
3.6,,4.73,
3.7,,4.54,
3.8,,4.25,
3.9,,3.98,
4.0,82.666667,3.78,
4.1,,3.58,
4.2,,3.48,
4.3,,3.55,
4.4,,3.74,
4.5,,4.01,
4.6,,4.31,
4.7,,4.62,
4.8,,4.94,
4.9,,5.31,
5.0,83.000000,5.72,
5.1,,6.07,
5.2,,6.31,
5.3,,6.38,
5.4,,6.24,
5.5,,5.97,
5.6,,5.76,
5.7,,5.69,
5.8,,5.61,
5.9,,5.55,
6.0,83.333333,5.51,
6.1,,5.38,
6.2,,5.15,
6.3,,4.94,
6.4,,4.79,
6.5,,4.54,
6.6,,4.24,
6.7,,4.03,
6.8,,3.89,
6.9,,3.66,
7.0,83.666667,3.55,
7.1,,3.79,
7.2,,4.26,
7.3,,4.80,
7.4,,5.37,
7.5,,5.94,
7.6,,6.39,
7.7,,6.80,
7.8,,7.27,
7.9,,7.64,
8.0,84.166667,7.85,
8.1,,8.05,
8.2,,8.47,
8.3,,8.95,
8.4,,9.48,
8.5,,10.08,
8.6,,10.52,
8.7,,10.52,
8.8,,9.95,
8.9,,9.07,
9.0,84.600000,8.13,
9.1,,7.28,
9.2,,6.59,
9.3,,6.06,
9.4,,5.70,
9.5,,5.50,
9.6,,5.28,
9.7,,4.91,
9.8,,4.57,
9.9,,4.30,
10.0,84.666667,4.04,6.4
10.1,,3.85,
10.2,,3.77,
10.3,,3.78,
10.4,,3.92,
10.5,,4.36,
10.6,,5.02,
10.7,,6.40,
10.8,,8.18,
10.9,,9.30,
11.0,84.833333,10.07,
11.1,,10.57,
11.2,,11.14,
11.3,,10.77,
11.4,,10.58,
11.5,,10.95,
11.6,,11.43,
11.7,,11.36,
11.8,,11.31,
11.9,,11.08,
12.0,85.000000,9.66,
12.1,,7.93,
12.2,,7.89,
12.3,,8.45,
12.4,,7.20,
12.5,,7.55,
12.6,,9.07,
12.7,,9.36,
12.8,,8.44,
12.9,,9.49,
13.0,85.000000,10.18,
13.1,,9.91,
13.2,,12.24,
13.3,,13.65,
13.4,,12.39,
13.5,,10.29,
13.6,,10.06,
13.7,,10.10,
13.8,,9.75,
13.9,,11.30,
14.0,85.285714,12.95,
14.1,,12.73,
14.2,,10.76,
14.3,,9.73,
14.4,,10.94,
14.5,,11.32,
14.6,,9.87,
14.7,,10.39,
14.8,,10.82,
14.9,,9.06,
15.0,85.833333,7.17,
15.1,,7.26,
15.2,,9.71,
15.3,,11.72,
15.4,,11.93,
15.5,,13.84,
15.6,,14.94,
15.7,,15.12,
15.8,,15.17,
15.9,,15.41,
16.0,86.500000,15.90,
16.1,,15.36,
16.2,,16.18,
16.3,,17.35,
16.4,,16.20,
16.5,,13.89,
16.6,,12.09,
16.7,,11.45,
16.8,,11.91,
16.9,,10.41,
17.0,87.333333,10.22,
17.1,,10.80,
17.2,,10.68,
17.3,,9.24,
17.4,,8.26,
17.5,,9.54,
17.6,,10.49,
17.7,,10.72,
17.8,,13.12,
17.9,,13.66,
18.0,88.666667,12.77,
18.1,,13.05,
18.2,,13.22,
18.3,,13.72,
18.4,,12.70,
18.5,,13.81,
18.6,,13.83,
18.7,,11.65,
18.8,,9.42,
18.9,,9.10,
19.0,90.166667,9.73,
19.1,,8.75,
19.2,,8.68,
19.3,,8.99,
19.4,,9.13,
19.5,,9.41,
19.6,,10.06,
19.7,,11.05,
19.8,,12.19,
19.9,,12.29,
20.0,91.166667,13.84,26.4
20.1,,14.36,
20.2,,12.94,
20.3,,11.19,
20.4,,10.71,
20.5,,11.05,
20.6,,10.17,
20.7,,10.83,
20.8,,13.51,
20.9,,14.35,
21.0,92.333333,14.13,
21.1,,13.73,
21.2,,14.82,
21.3,,15.11,
21.4,,13.42,
21.5,,14.83,
21.6,,16.48,
21.7,,15.41,
21.8,,12.51,
21.9,,11.15,
22.0,93.500000,11.74,
22.1,,11.50,
22.2,,9.83,
22.3,,9.57,
22.4,,9.77,
22.5,,9.01,
22.6,,7.90,
22.7,,6.87,
22.8,,7.29,
22.9,,8.87,
23.0,94.166667,9.72,
23.1,,11.90,
23.2,,12.66,
23.3,,12.63,
23.4,,13.08,
23.5,,13.75,
23.6,,14.36,
23.7,,13.67,
23.8,,12.36,
23.9,,13.07,
24.0,94.833333,13.50,
24.1,,11.50,
24.2,,9.03,
24.3,,8.10,
24.4,,8.52,
24.5,,7.55,
24.6,,7.28,
24.7,,7.73,
24.8,,6.97,
24.9,,6.18,
25.0,95.666667,6.87,
25.1,,9.09,
25.2,,10.67,
25.3,,10.64,
25.4,,12.55,
25.5,,14.59,
25.6,,16.55,
25.7,,17.67,
25.8,,15.78,
25.9,,14.95,
26.0,96.500000,14.61,
26.1,,13.59,
26.2,,14.99,
26.3,,16.49,
26.4,,15.79,
26.5,,13.58,
26.6,,12.02,
26.7,,11.65,
26.8,,10.93,
26.9,,9.56,
27.0,97.333333,10.62,
27.1,,11.42,
27.2,,11.20,
27.3,,10.28,
27.4,,11.06,
27.5,,13.27,
27.6,,12.72,
27.7,,12.49,
27.8,,13.70,
27.9,,12.91,
28.0,98.666667,10.43,
28.1,,9.78,
28.2,,11.06,
28.3,,11.73,
28.4,,9.95,
28.5,,9.89,
28.6,,9.41,
28.7,,8.11,
28.8,,6.56,
28.9,,6.03,
29.0,100.166667,7.33,
29.1,,8.55,
29.2,,10.08,
29.3,,12.34,
29.4,,13.42,
29.5,,12.95,
29.6,,13.17,
29.7,,13.58,
29.8,,14.74,
29.9,,15.16,
30.0,101.500000,16.79,23.1
