数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,80.000000,7.52,0.0
0.1,,7.15,
0.2,,7.46,
0.3,,7.79,
0.4,,7.67,
0.5,,7.35,
0.6,,7.19,
0.7,,7.09,
0.8,,7.23,
0.9,,7.27,
1.0,80.666667,7.05,
1.1,,7.01,
1.2,,7.30,
1.3,,7.54,
1.4,,7.56,
1.5,,7.71,
1.6,,7.82,
1.7,,7.77,
1.8,,7.77,
1.9,,7.81,
2.0,81.250000,7.79,
2.1,,7.69,
2.2,,7.70,
2.3,,7.49,
2.4,,6.93,
2.5,,6.48,
2.6,,6.08,
2.7,,5.76,
2.8,,5.70,
2.9,,5.69,
3.0,81.400000,5.60,
3.1,,5.45,
3.2,,5.39,
3.3,,5.64,
3.4,,5.89,
3.5,,5.99,
3.6,,6.11,
3.7,,6.41,
3.8,,6.68,
3.9,,6.63,
4.0,81.500000,6.36,
4.1,,6.06,
4.2,,6.05,
4.3,,6.24,
4.4,,6.50,
4.5,,6.93,
4.6,,7.36,
4.7,,7.58,
4.8,,7.68,
4.9,,7.81,
5.0,81.833333,7.81,
5.1,,7.56,
5.2,,7.50,
5.3,,7.57,
5.4,,7.52,
5.5,,7.47,
5.6,,7.40,
5.7,,7.25,
5.8,,7.12,
5.9,,7.11,
6.0,81.666667,7.11,
6.1,,6.88,
6.2,,6.48,
6.3,,6.21,
6.4,,6.07,
6.5,,5.91,
6.6,,5.99,
6.7,,6.13,
6.8,,6.05,
6.9,,5.98,
7.0,81.500000,6.06,
7.1,,6.12,
7.2,,6.12,
7.3,,6.10,
7.4,,6.03,
7.5,,5.84,
7.6,,5.57,
7.7,,5.34,
7.8,,5.37,
7.9,,5.57,
8.0,81.666667,5.83,
8.1,,6.04,
8.2,,6.04,
8.3,,5.94,
8.4,,6.19,
8.5,,6.92,
8.6,,7.52,
8.7,,7.98,
8.8,,8.52,
8.9,,9.03,
9.0,81.666667,9.33,
9.1,,9.33,
9.2,,8.85,
9.3,,7.88,
9.4,,7.16,
9.5,,7.07,
9.6,,7.09,
9.7,,7.03,
9.8,,6.98,
9.9,,6.88,
10.0,82.000000,6.64,5.4
10.1,,6.52,
10.2,,6.62,
10.3,,6.76,
10.4,,6.87,
10.5,,6.91,
10.6,,6.89,
10.7,,6.77,
10.8,,6.68,
10.9,,6.66,
11.0,82.333333,6.53,
11.1,,6.40,
11.2,,6.46,
11.3,,6.64,
11.4,,6.57,
11.5,,6.35,
11.6,,6.31,
11.7,,6.35,
11.8,,6.33,
11.9,,6.17,
12.0,82.666667,5.93,
12.1,,5.69,
12.2,,5.55,
12.3,,5.62,
12.4,,5.76,
12.5,,5.86,
12.6,,5.90,
12.7,,5.89,
12.8,,5.84,
12.9,,5.77,
13.0,83.166667,6.01,
13.1,,6.29,
13.2,,6.23,
13.3,,6.34,
13.4,,7.05,
13.5,,7.86,
13.6,,7.69,
13.7,,6.64,
13.8,,5.78,
13.9,,5.42,
14.0,83.500000,5.25,
14.1,,4.95,
14.2,,4.64,
14.3,,4.89,
14.4,,6.19,
14.5,,8.10,
14.6,,9.10,
14.7,,9.27,
14.8,,8.75,
14.9,,7.68,
15.0,83.333333,7.31,
15.1,,7.45,
15.2,,7.83,
15.3,,8.26,
15.4,,8.57,
15.5,,8.62,
15.6,,7.96,
15.7,,7.71,
15.8,,8.25,
15.9,,8.62,
16.0,83.000000,8.01,
16.1,,6.74,
16.2,,6.06,
16.3,,5.82,
16.4,,5.87,
16.5,,5.93,
16.6,,5.65,
16.7,,5.39,
16.8,,5.05,
16.9,,4.97,
17.0,82.200000,5.29,
17.1,,5.26,
17.2,,5.28,
17.3,,5.81,
17.4,,5.98,
17.5,,5.22,
17.6,,4.87,
17.7,,5.47,
17.8,,5.66,
17.9,,5.50,
18.0,82.000000,5.48,
18.1,,5.41,
18.2,,5.31,
18.3,,5.38,
18.4,,5.30,
18.5,,5.19,
18.6,,5.41,
18.7,,5.67,
18.8,,5.39,
18.9,,4.87,
19.0,80.800000,4.74,
19.1,,4.97,
19.2,,5.38,
19.3,,5.76,
19.4,,5.93,
19.5,,5.65,
19.6,,5.52,
