数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,78.000000,5.27,23.2
0.1,,4.93,
0.2,,4.59,
0.3,,4.30,
0.4,,4.12,
0.5,,3.91,
0.6,,3.59,
0.7,,3.28,
0.8,,3.04,
0.9,,2.84,
1.0,78.000000,2.72,
1.1,,2.81,
1.2,,3.17,
1.3,,3.71,
1.4,,4.28,
1.5,,4.82,
1.6,,5.32,
1.7,,5.82,
1.8,,6.26,
1.9,,6.38,
2.0,78.500000,5.98,
2.1,,5.31,
2.2,,4.80,
2.3,,4.40,
2.4,,4.24,
2.5,,4.32,
2.6,,4.36,
2.7,,4.18,
2.8,,3.90,
2.9,,3.77,
3.0,79.000000,3.66,
3.1,,3.55,
3.2,,3.50,
3.3,,3.54,
3.4,,3.61,
3.5,,3.59,
3.6,,3.51,
3.7,,3.36,
3.8,,3.23,
3.9,,3.12,
4.0,79.500000,3.00,
4.1,,2.88,
4.2,,2.85,
4.3,,3.02,
4.4,,3.34,
4.5,,3.78,
4.6,,4.26,
4.7,,4.70,
4.8,,5.10,
4.9,,5.46,
5.0,80.333333,5.68,
5.1,,5.73,
5.2,,5.72,
5.3,,5.64,
5.4,,5.40,
5.5,,5.06,
5.6,,4.80,
5.7,,4.50,
5.8,,4.22,
5.9,,4.07,
6.0,81.333333,3.91,
6.1,,3.76,
6.2,,3.70,
6.3,,3.73,
6.4,,3.91,
6.5,,4.55,
6.6,,5.14,
6.7,,4.79,
6.8,,4.02,
6.9,,3.56,
7.0,82.333333,3.27,
7.1,,3.12,
7.2,,3.08,
7.3,,3.14,
7.4,,3.18,
7.5,,3.17,
7.6,,3.22,
7.7,,3.32,
7.8,,3.48,
7.9,,3.80,
8.0,82.571429,4.36,
8.1,,5.05,
8.2,,5.74,
8.3,,6.22,
8.4,,6.18,
8.5,,5.58,
8.6,,5.02,
8.7,,4.65,
8.8,,4.27,
8.9,,3.87,
9.0,83.833333,3.50,
9.1,,3.20,
9.2,,2.98,
9.3,,2.86,
9.4,,2.83,
9.5,,2.91,
9.6,,3.17,
9.7,,3.54,
9.8,,3.91,
9.9,,4.32,
10.0,84.333333,4.83,26.0
10.1,,5.33,
10.2,,5.72,
10.3,,5.92,
10.4,,5.88,
10.5,,5.52,
10.6,,5.09,
10.7,,5.11,
10.8,,5.98,
10.9,,6.70,
11.0,85.200000,7.48,
11.1,,8.06,
11.2,,8.12,
11.3,,7.07,
11.4,,7.06,
11.5,,7.71,
11.6,,6.90,
11.7,,6.45,
11.8,,6.84,
11.9,,5.95,
12.0,85.333333,4.23,
12.1,,3.41,
12.2,,4.16,
12.3,,6.05,
12.4,,7.05,
12.5,,8.58,
12.6,,11.71,
12.7,,12.15,
12.8,,11.00,
12.9,,10.23,
13.0,86.333333,10.74,
13.1,,11.28,
13.2,,10.00,
13.3,,9.82,
13.4,,10.45,
13.5,,9.64,
13.6,,7.37,
