数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,110.000000,3.57,21.3
0.1,,3.87,
0.2,,4.26,
0.3,,4.61,
0.4,,4.84,
0.5,,5.16,
0.6,,5.69,
0.7,,6.33,
0.8,,7.03,
0.9,,7.15,
1.0,110.000000,6.79,
1.1,,6.28,
1.2,,6.14,
1.3,,6.04,
1.4,,5.73,
1.5,,5.45,
1.6,,5.26,
1.7,,5.15,
1.8,,5.06,
1.9,,4.93,
2.0,110.000000,4.84,
2.1,,4.76,
2.2,,4.69,
2.3,,4.70,
2.4,,4.77,
2.5,,4.90,
2.6,,5.18,
2.7,,5.49,
2.8,,5.71,
2.9,,5.93,
3.0,109.600000,6.16,
3.1,,6.39,
3.2,,6.57,
3.3,,6.52,
3.4,,6.30,
3.5,,6.08,
3.6,,5.89,
3.7,,5.75,
3.8,,5.62,
3.9,,5.47,
4.0,109.000000,5.36,
4.1,,5.29,
4.2,,5.22,
4.3,,5.12,
4.4,,4.99,
4.5,,4.89,
4.6,,4.80,
4.7,,4.68,
4.8,,4.60,
4.9,,4.62,
5.0,108.600000,4.69,
5.1,,4.80,
5.2,,4.98,
5.3,,5.24,
5.4,,5.54,
5.5,,5.76,
5.6,,5.95,
5.7,,6.19,
5.8,,6.44,
5.9,,6.70,
6.0,108.500000,6.94,
6.1,,6.89,
6.2,,6.65,
6.3,,6.42,
6.4,,6.22,
6.5,,6.03,
6.6,,5.81,
6.7,,5.59,
6.8,,5.37,
6.9,,5.11,
7.0,108.166667,4.88,
7.1,,4.73,
7.2,,4.56,
7.3,,4.41,
7.4,,4.32,
7.5,,4.26,
7.6,,4.25,
7.7,,4.32,
7.8,,4.45,
7.9,,4.66,
8.0,107.666667,4.95,
8.1,,5.32,
8.2,,5.64,
8.3,,5.84,
8.4,,6.06,
8.5,,6.32,
8.6,,6.58,
8.7,,6.84,
8.8,,6.99,
8.9,,6.92,
9.0,107.833333,6.73,
9.1,,6.50,
9.2,,6.28,
9.3,,6.06,
9.4,,5.81,
9.5,,5.62,
9.6,,5.48,
9.7,,5.35,
9.8,,5.19,
9.9,,5.00,
10.0,108.166667,4.84,12.7
10.1,,4.70,
10.2,,4.55,
