数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,87.000000,7.50,10.4
0.1,,7.97,
0.2,,7.97,
0.3,,7.38,
0.4,,6.64,
0.5,,5.92,
0.6,,5.17,
0.7,,4.44,
0.8,,3.82,
0.9,,3.33,
1.0,86.333333,2.98,
1.1,,2.74,
1.2,,2.60,
1.3,,2.49,
1.4,,2.33,
1.5,,2.18,
1.6,,2.03,
1.7,,1.88,
1.8,,1.83,
1.9,,1.91,
2.0,86.250000,2.12,
2.1,,2.43,
2.2,,2.80,
2.3,,3.18,
2.4,,3.52,
2.5,,3.84,
2.6,,4.16,
2.7,,4.45,
2.8,,4.71,
2.9,,4.87,
3.0,87.000000,4.94,
3.1,,4.93,
3.2,,4.85,
3.3,,4.75,
3.4,,4.59,
3.5,,4.39,
3.6,,4.20,
3.7,,4.12,
3.8,,4.14,
3.9,,4.19,
4.0,87.166667,4.22,
4.1,,4.18,
4.2,,4.07,
4.3,,3.93,
4.4,,3.90,
4.5,,4.05,
4.6,,4.41,
4.7,,4.83,
4.8,,5.26,
4.9,,5.65,
5.0,87.666667,6.04,
5.1,,6.51,
5.2,,6.98,
5.3,,7.35,
5.4,,7.53,
5.5,,7.41,
5.6,,6.96,
5.7,,6.44,
5.8,,5.83,
5.9,,5.11,
6.0,88.500000,4.40,
6.1,,3.79,
6.2,,3.33,
6.3,,3.02,
6.4,,2.84,
6.5,,2.74,
6.6,,2.65,
6.7,,2.52,
6.8,,2.38,
6.9,,2.26,
7.0,88.833333,2.24,
7.1,,2.25,
7.2,,2.28,
7.3,,2.35,
7.4,,2.47,
7.5,,2.68,
7.6,,2.95,
7.7,,3.28,
7.8,,3.64,
7.9,,4.03,
8.0,89.142857,4.35,
8.1,,4.52,
8.2,,4.47,
8.3,,4.29,
8.4,,4.12,
8.5,,4.02,
8.6,,3.91,
8.7,,3.69,
8.8,,3.42,
8.9,,3.18,
9.0,89.666667,3.01,
9.1,,2.92,
9.2,,2.89,
9.3,,2.85,
9.4,,2.83,
9.5,,2.88,
9.6,,3.03,
9.7,,3.26,
9.8,,3.57,
9.9,,3.87,
10.0,89.833333,4.03,11.4
10.1,,4.07,
10.2,,3.99,
10.3,,3.90,
10.4,,3.84,
