数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,108.000000,5.05,19.8
0.1,,4.99,
0.2,,5.07,
0.3,,5.36,
0.4,,5.95,
0.5,,6.66,
0.6,,7.34,
0.7,,7.89,
0.8,,8.16,
0.9,,8.08,
1.0,108.000000,7.72,
1.1,,7.23,
1.2,,6.71,
1.3,,6.21,
1.4,,5.73,
1.5,,5.43,
1.6,,5.30,
1.7,,5.15,
1.8,,4.95,
1.9,,4.71,
2.0,108.000000,4.45,
2.1,,4.37,
2.2,,4.42,
2.3,,4.38,
2.4,,4.25,
2.5,,4.09,
2.6,,3.94,
2.7,,3.96,
2.8,,4.10,
2.9,,4.23,
3.0,107.600000,4.56,
3.1,,5.08,
3.2,,5.67,
3.3,,6.42,
3.4,,7.27,
3.5,,8.00,
3.6,,8.50,
3.7,,8.71,
3.8,,8.67,
3.9,,8.34,
4.0,107.166667,7.56,
4.1,,6.57,
4.2,,5.82,
4.3,,5.31,
4.4,,5.00,
4.5,,4.86,
4.6,,4.67,
4.7,,4.41,
4.8,,4.18,
4.9,,4.01,
5.0,106.500000,4.01,
5.1,,4.05,
5.2,,3.98,
5.3,,3.85,
5.4,,3.67,
5.5,,3.60,
5.6,,3.68,
5.7,,3.76,
5.8,,3.92,
5.9,,4.29,
6.0,106.000000,4.84,
6.1,,5.55,
6.2,,6.33,
6.3,,7.06,
6.4,,7.71,
6.5,,8.17,
6.6,,8.45,
6.7,,8.35,
6.8,,7.74,
6.9,,6.90,
7.0,105.600000,6.09,
7.1,,5.40,
7.2,,4.98,
7.3,,4.73,
7.4,,4.48,
7.5,,4.24,
7.6,,4.04,
7.7,,3.98,
7.8,,4.01,
7.9,,3.97,
8.0,106.333333,3.83,
8.1,,3.66,
8.2,,3.59,
8.3,,3.66,
8.4,,3.72,
8.5,,3.73,
8.6,,3.84,
8.7,,4.21,
8.8,,4.81,
8.9,,5.48,
9.0,107.000000,6.10,
9.1,,6.64,
9.2,,7.13,
9.3,,7.75,
9.4,,8.34,
9.5,,8.41,
9.6,,7.69,
9.7,,6.59,
9.8,,5.70,
9.9,,5.15,
10.0,108.000000,4.77,18.2
10.1,,4.43,
10.2,,4.13,
10.3,,3.87,
10.4,,3.78,
10.5,,3.85,
10.6,,3.95,
10.7,,3.89,
10.8,,3.61,
10.9,,3.42,
11.0,108.833333,3.52,
11.1,,3.87,
11.2,,4.13,
11.3,,4.28,
11.4,,4.82,
11.5,,5.97,
11.6,,7.12,
11.7,,7.79,
11.8,,7.93,
11.9,,7.63,
12.0,109.000000,8.01,
12.1,,8.90,
12.2,,9.48,
12.3,,9.63,
12.4,,9.23,
12.5,,8.67,
12.6,,8.13,
12.7,,7.13,
12.8,,5.60,
12.9,,4.52,
13.0,109.500000,4.32,
13.1,,4.19,
13.2,,3.98,
13.3,,4.02,
13.4,,4.00,
13.5,,4.04,
13.6,,4.22,
13.7,,4.44,
13.8,,5.27,
13.9,,6.44,
14.0,109.166667,7.17,
14.1,,7.81,
14.2,,8.31,
14.3,,8.63,
14.4,,9.10,
14.5,,9.47,
14.6,,9.89,
14.7,,10.19,
14.8,,9.32,
14.9,,7.58,
15.0,108.833333,6.44,
15.1,,6.23,
15.2,,6.31,
15.3,,6.32,
15.4,,6.44,
15.5,,6.16,
15.6,,5.55,
15.7,,5.60,
15.8,,5.62,
15.9,,5.29,
16.0,108.166667,5.43,
16.1,,6.06,
16.2,,5.97,
16.3,,5.56,
16.4,,6.50,
16.5,,8.00,
16.6,,9.13,
16.7,,10.16,
16.8,,10.27,
16.9,,9.26,
17.0,107.666667,8.87,
17.1,,8.69,
17.2,,8.21,
17.3,,7.93,
17.4,,7.24,
17.5,,6.47,
17.6,,5.97,
17.7,,5.17,
17.8,,4.55,
17.9,,4.65,
18.0,107.000000,4.52,
18.1,,4.26,
18.2,,4.31,
18.3,,4.36,
18.4,,4.55,
18.5,,5.02,
18.6,,5.50,
18.7,,5.89,
18.8,,6.41,
18.9,,7.13,
19.0,106.333333,7.86,
19.1,,8.44,
19.2,,8.69,
19.3,,8.84,
19.4,,9.51,
19.5,,10.09,
19.6,,10.14,
19.7,,10.09,
19.8,,10.04,
19.9,,8.73,
20.0,106.166667,6.86,22.2
20.1,,6.77,
20.2,,7.12,
20.3,,6.23,
20.4,,5.46,
20.5,,5.48,
20.6,,5.59,
20.7,,4.82,
20.8,,3.50,
20.9,,3.56,
21.0,106.000000,4.74,
21.1,,6.06,
21.2,,7.18,
21.3,,7.79,
21.4,,8.01,
21.5,,7.92,
21.6,,7.81,
21.7,,8.57,
21.8,,9.71,
21.9,,9.87,
22.0,105.833333,9.08,
22.1,,8.38,
22.2,,7.72,
22.3,,7.20,
22.4,,6.79,
22.5,,5.98,
22.6,,5.50,
22.7,,5.22,
22.8,,4.71,
22.9,,4.50,
23.0,106.166667,4.60,
23.1,,4.40,
23.2,,4.31,
23.3,,4.24,
23.4,,4.12,
23.5,,4.44,
23.6,,4.88,
23.7,,5.22,
23.8,,5.42,
23.9,,5.76,
24.0,106.600000,6.85,
24.1,,8.64,
24.2,,10.08,
24.3,,10.74,
24.4,,11.02,
24.5,,10.81,
24.6,,10.50,
24.7,,10.32,
24.8,,9.14,
24.9,,7.32,
25.0,107.000000,6.57,
25.1,,6.32,
25.2,,6.13,
25.3,,6.38,
25.4,,6.65,
25.5,,6.45,
25.6,,4.99,
25.7,,3.97,
25.8,,4.47,
25.9,,4.99,
26.0,107.333333,5.53,
26.1,,6.49,
26.2,,7.20,
26.3,,7.50,
26.4,,7.72,
26.5,,8.94,
26.6,,10.26,
26.7,,10.82,
26.8,,11.53,
26.9,,11.19,
27.0,107.333333,9.31,
27.1,,8.08,
27.2,,7.66,
27.3,,6.65,
27.4,,5.76,
27.5,,5.40,
27.6,,5.32,
27.7,,5.53,
27.8,,5.31,
27.9,,5.15,
28.0,107.333333,5.42,
28.1,,5.17,
28.2,,4.75,
28.3,,4.56,
28.4,,4.55,
28.5,,5.10,
28.6,,6.01,
28.7,,6.64,
28.8,,7.36,
28.9,,9.20,
29.0,107.000000,11.34,
29.1,,12.34,
29.2,,12.58,
29.3,,12.37,
29.4,,11.47,
29.5,,9.73,
29.6,,7.68,
29.7,,6.55,
29.8,,6.58,
29.9,,6.74,
30.0,106.666667,6.90,23.2
