数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,110.000000,6.78,19.2
0.1,,6.50,
0.2,,6.47,
0.3,,6.42,
0.4,,6.39,
0.5,,6.49,
0.6,,6.82,
0.7,,7.41,
0.8,,8.07,
0.9,,8.78,
1.0,110.000000,9.48,
1.1,,10.11,
1.2,,10.84,
1.3,,11.51,
1.4,,11.52,
1.5,,10.73,
1.6,,9.70,
1.7,,8.86,
1.8,,8.15,
1.9,,7.50,
2.0,110.000000,7.00,
2.1,,6.64,
2.2,,6.37,
2.3,,6.22,
2.4,,6.08,
2.5,,5.99,
2.6,,6.03,
2.7,,6.28,
2.8,,6.84,
2.9,,7.56,
3.0,110.400000,8.35,
3.1,,9.21,
3.2,,10.12,
3.3,,10.99,
3.4,,11.60,
3.5,,11.44,
3.6,,10.52,
3.7,,9.45,
3.8,,8.62,
3.9,,7.93,
4.0,110.833333,7.27,
4.1,,6.79,
4.2,,6.47,
4.3,,6.26,
4.4,,6.14,
4.5,,6.04,
4.6,,5.97,
4.7,,5.94,
4.8,,5.98,
4.9,,6.29,
5.0,111.500000,6.88,
5.1,,7.70,
5.2,,8.67,
5.3,,9.67,
5.4,,10.44,
5.5,,10.39,
5.6,,9.52,
5.7,,8.53,
5.8,,7.70,
5.9,,7.03,
6.0,112.333333,6.52,
6.1,,6.19,
6.2,,6.02,
6.3,,5.94,
6.4,,5.91,
6.5,,6.07,
6.6,,6.57,
6.7,,7.39,
6.8,,8.32,
6.9,,9.26,
7.0,113.333333,10.14,
7.1,,10.74,
7.2,,10.74,
7.3,,10.14,
7.4,,9.31,
7.5,,8.45,
7.6,,7.69,
7.7,,7.08,
7.8,,6.62,
7.9,,6.31,
8.0,114.333333,6.12,
8.1,,6.01,
8.2,,5.95,
8.3,,5.92,
8.4,,5.96,
8.5,,6.24,
8.6,,6.80,
8.7,,7.57,
8.8,,8.42,
8.9,,9.28,
9.0,115.333333,10.10,
9.1,,10.56,
9.2,,10.27,
9.3,,9.46,
9.4,,8.65,
9.5,,7.94,
9.6,,7.25,
9.7,,6.68,
9.8,,6.33,
9.9,,6.15,
10.0,116.000000,6.06,27.6
10.1,,5.97,
10.2,,5.93,
10.3,,6.11,
10.4,,6.63,
10.5,,7.40,
10.6,,8.19,
10.7,,8.99,
10.8,,9.97,
10.9,,10.80,
11.0,116.500000,10.80,
11.1,,9.78,
11.2,,8.53,
11.3,,7.98,
11.4,,7.44,
11.5,,6.59,
11.6,,6.90,
11.7,,7.96,
11.8,,8.08,
11.9,,7.55,
12.0,117.166667,7.14,
12.1,,7.32,
12.2,,8.05,
12.3,,8.67,
12.4,,8.83,
12.5,,9.22,
12.6,,10.14,
12.7,,10.75,
12.8,,11.41,
12.9,,11.61,
13.0,117.600000,10.48,
13.1,,8.85,
13.2,,7.72,
13.3,,7.51,
13.4,,8.02,
13.5,,8.20,
13.6,,7.31,
13.7,,6.84,
13.8,,7.25,
13.9,,7.84,
14.0,117.666667,9.21,
14.1,,10.98,
14.2,,11.51,
14.3,,11.12,
14.4,,10.70,
14.5,,10.11,
14.6,,9.66,
14.7,,8.96,
14.8,,8.02,
14.9,,7.41,
15.0,118.400000,6.93,
15.1,,6.73,
15.2,,7.11,
15.3,,7.91,
15.4,,8.81,
15.5,,9.31,
15.6,,9.77,
15.7,,10.84,
15.8,,12.49,
15.9,,12.33,
16.0,118.500000,10.33,
16.1,,9.38,
16.2,,8.95,
16.3,,8.57,
16.4,,8.87,
16.5,,9.13,
16.6,,8.47,
16.7,,7.61,
16.8,,7.00,
16.9,,6.76,
17.0,118.666667,7.09,
17.1,,7.40,
17.2,,7.25,
17.3,,7.55,
17.4,,8.25,
17.5,,8.82,
17.6,,9.73,
17.7,,10.71,
17.8,,10.60,
17.9,,9.95,
18.0,118.142857,9.68,
18.1,,9.31,
18.2,,8.98,
18.3,,8.23,
18.4,,7.96,
18.5,,8.31,
18.6,,8.14,
18.7,,7.84,
18.8,,8.12,
18.9,,9.25,
19.0,116.000000,9.28,
19.1,,8.55,
19.2,,8.66,
19.3,,9.34,
19.4,,10.88,
19.5,,11.91,
19.6,,10.49,
19.7,,9.09,
19.8,,9.03,
19.9,,8.82,
20.0,113.857143,8.90,30.4
20.1,,9.14,
20.2,,8.40,
20.3,,7.51,
20.4,,7.35,
20.5,,7.33,
20.6,,7.91,
20.7,,8.75,
20.8,,9.94,
20.9,,11.08,
21.0,109.833333,11.27,
21.1,,11.46,
21.2,,12.17,
21.3,,12.48,
21.4,,11.82,
21.5,,10.82,
21.6,,9.92,
21.7,,9.41,
21.8,,9.00,
21.9,,8.09,
22.0,106.833333,7.22,
22.1,,7.05,
22.2,,7.38,
22.3,,7.97,
22.4,,8.85,
22.5,,10.12,
22.6,,10.47,
22.7,,10.11,
22.8,,10.36,
22.9,,10.98,
23.0,103.666667,11.65,
23.1,,11.12,
23.2,,8.81,
23.3,,7.75,
23.4,,7.95,
23.5,,7.84,
23.6,,8.13,
23.7,,8.55,
23.8,,7.86,
23.9,,7.14,
24.0,101.500000,7.19,
24.1,,7.44,
24.2,,8.47,
24.3,,9.18,
24.4,,9.84,
24.5,,10.95,
24.6,,11.53,
24.7,,11.33,
24.8,,10.50,
24.9,,9.90,
25.0,100.000000,10.54,
25.1,,11.03,
25.2,,9.93,
25.3,,9.10,
25.4,,9.05,
25.5,,9.04,
25.6,,8.65,
25.7,,7.85,
25.8,,7.82,
25.9,,8.64,
26.0,99.166667,9.96,
26.1,,11.91,
26.2,,13.14,
26.3,,12.25,
26.4,,10.29,
26.5,,8.83,
26.6,,8.24,
26.7,,8.51,
26.8,,7.97,
26.9,,6.98,
27.0,98.166667,7.16,
27.1,,7.33,
27.2,,7.38,
27.3,,8.02,
27.4,,9.21,
27.5,,9.75,
27.6,,10.09,
27.7,,10.78,
27.8,,11.32,
27.9,,12.39,
28.0,97.666667,12.98,
28.1,,12.23,
28.2,,11.28,
28.3,,10.39,
28.4,,9.70,
28.5,,9.29,
28.6,,9.21,
28.7,,9.52,
28.8,,8.87,
28.9,,7.92,
29.0,97.000000,7.47,
29.1,,7.33,
29.2,,7.76,
29.3,,8.17,
29.4,,8.24,
29.5,,8.71,
29.6,,9.84,
29.7,,11.11,
29.8,,12.37,
29.9,,13.08,
30.0,96.666667,11.77,33.6
